UTC,Computed Density,JB08,DTM2000,EDR Density,AccelerometerDensity,NRLMSISE-00,NRT Density
2023-05-06 01:22:27,7.966575042993194e-13,5.614597002044882e-13,1.227078882281753e-12,8.788290159022373e-13,7.3836569e-13,1.0181702e-12,9.08599692634228e-13
2023-05-06 01:22:42,7.99135194090941e-13,5.620498062713236e-13,1.2213241518569973e-12,8.80209697014439e-13,7.3812244e-13,1.0205882e-12,9.101971680087816e-13
2023-05-06 01:22:57,8.016082620269661e-13,5.626202972466401e-13,1.2155600833493197e-12,8.81670332510612e-13,7.401798e-13,1.0245561e-12,9.11687702377937e-13
2023-05-06 01:23:12,8.040845362658732e-13,5.631727682112116e-13,1.2098449995882105e-12,8.830555238966343e-13,7.4117243e-13,1.0268226e-12,9.13074660458257e-13
2023-05-06 01:23:27,8.063953862154107e-13,5.63710447592323e-13,1.2042389777480957e-12,8.84201394532272e-13,7.4112436e-13,1.0304958e-12,9.141898151928233e-13
2023-05-06 01:23:42,8.08325524658447e-13,5.64234976611412e-13,1.1987973306472046e-12,8.853634766229235e-13,7.3980989e-13,1.0325635e-12,9.14819397188893e-13
2023-05-06 01:23:57,8.09384520213235e-13,5.647496257703944e-13,1.19357629121129e-12,8.868473852305115e-13,7.3776913e-13,1.0358897e-12,9.144655928236655e-13
2023-05-06 01:24:12,8.100867315069748e-13,5.652560666690104e-13,1.1886266406239318e-12,8.885154751886618e-13,7.3684651e-13,1.0377644e-12,9.136357248697929e-13
2023-05-06 01:24:27,8.107162078272799e-13,5.657575890551528e-13,1.1839993886526405e-12,8.896077630119856e-13,7.3532899e-13,1.0406859e-12,9.126218027146842e-13
2023-05-06 01:24:42,8.110231291499586e-13,5.662558667064284e-13,1.1797395521860816e-12,8.904037162734727e-13,7.3596534e-13,1.0423513e-12,9.111840032990017e-13
2023-05-06 01:24:57,8.112166477890878e-13,5.667541877491998e-13,1.1758918598107605e-12,8.918858593384059e-13,7.3767192e-13,1.0448492e-12,9.095264153437066e-13
